127.0.0.1 - - [22/Apr/2019:20:14:58 -0300] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:14:59 -0300] "GET /lab03/ HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:15:27 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:27 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:28 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:29 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:29 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:30 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:32 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:33 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:35 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:36 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:37 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:38 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:39 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:39 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:40 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:40 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:41 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:42 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:42 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:43 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:44 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:44 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:32:44 -0300] "GET /lab03/alertaservlet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [22/Apr/2019:20:52:49 -0300] "GET /lab03/alertaservlet HTTP/1.1" 500 1452
